live名称,主讲者,链接,开始时间,参加人数,介绍,费用,个人主页链接,live评分,喜欢数,回答数
学外语什么时候算晚？学到老活到老,安时,https://www.zhihu.com/lives/800064908686401536,2017-02-16 20:00:00,123,"我是安时。目前，我是英国爱丁堡大学 Linguistics and English Language 专业的在读博士，过去研究过社会语言学视角下的双语现象，特别是转码现象 (Code-switching)。现阶段主要从认知方向研究双语现象中的第一语言磨蚀 (First language attrition)，特别是句法磨蚀 (Syntactic attrition)。

如果上一讲点燃了些许让大家重拾外语的信心，这一讲就再加一把火，争取让双语家庭的老老少少把学外语这件终生大事看得更清楚些。本次 Live 主要从认知视角跟大家谈谈活到老学到老这件事对学外语是否适用。人到老年，身体容易走下坡路，健康问题受到前所未有的关注，而大脑作为身体的一部分却总是被人忘在一边。随着老年痴呆和奥兹海默症发病人数的逐年上升，神经科学和语言学的科学家联手，试图从语言和认知的角度另辟蹊径，找到一把减缓认知退化的保护伞： Bilingualism 双语。

本次 Live 主要包括以下内容：

＊ 双语红利能否延续到老年？

＊ 老年痴呆大调查：双语人群的发病时间居然晚四年

＊ 奥兹海默症大调查：双语/多语人群的发病时间居然晚五年

＊ 学到老活到老：老年开始学外语 也不晚",69RMB,https://www.zhihu.com/people/anshi,0,185,77
如何快速攻克传统算法和数据结构？,SimonS,https://www.zhihu.com/lives/795264798257479680,2017-01-25 21:00:00,2954,"我是 SimonS ，知乎 15K 粉丝大透明一只。小学接触编程学习，初中自主创站，高中开始长达七年的 OI / ACM 竞赛，毕业后有四年计算广告及风控征信相关机器学习工作经历。现任初创公司算法技术总监、公司技术合伙人，负责广告精准投放及商业智能相关工作。

本次 Live 我将带来对学习算法和数据结构的体会和理解。无论在知乎还是在生活中，都有不少同学来问我是否有必要针对算法和数据结构做专门的训练，以及具体的训练方法和在未来职场和机器学习方向上的作用，我将在此 Live 中一次性进行解读。

本次 Live 主要包括以下内容：

＊ 为什么面试官都喜欢考程序员基础算法？

＊ 如何高效、系统性地学习算法和数据结构？

＊ 为什么大家普遍觉得动态规划较难理解？

＊ 学算法是否有必要参加 OI / ACM 等算法编程竞赛？

＊ 如何平衡自己在算法、竞赛上和其它方面学习的精力投入？

＊ 学习传统算法对日后工作的帮助具体有多大？

＊ 学习传统算法对学习机器学习的帮助具体有多大？

＊ 最后分享一些趣题和面试考察的算法和数据结构侧重点



本次 Live 适用于：



＊ 备战 OI/ACM 等算法类竞赛的同学 

＊ 立志不只编写增删改查等业务代码的同学

＊ 备战明年校招 or 跳槽时被考察算法的同学

＊ 对算法学习感到迷茫，不知道学了能干嘛的同学。

＊ 在通往人工智能的道路上被传统算法绊住脚的同学

＊ 非科班出生在被人安利了无数次《算法导论》后望而却步的同学",9RMB,https://www.zhihu.com/people/simonshao,4.5,1118,119
用产品思维大幅提升求职成功率,布棉|徐财星,https://www.zhihu.com/lives/805175679959322624,2017-02-16 19:00:00,135,"我是布棉，算是半骨灰级网民，可能我玩电脑的时候，很多人还没出生，我在百度做产品经理的时候，很多人刚上中学，我第一份工作是中介，做过记者，创过业，曾在不同级别的公司从事产品设计、管理工作，如大公司（百度）、高速成长的公司（赶集）、传统教育公司（学而思）、创业公司（三节课），在工作期间，几乎每年都会做校园招聘，并培养实习生、培养新产品经理，所以对于新产品经理的成长有一定的经验，我带过的同学，几乎活跃在各大互联网公司。希望我的经验，能帮助到更多有需要的人。

做了十多年的 PM，被无数人问问题，最尴尬的问题不是「怎么一个月成为 NB 的产品经理」，而是「准备简历有什么技巧，我的简历去某某（通常是大公司）行不行？」，或者是「能不能教我一些面试技巧，让我面试成功？」尴尬是因为太多人喜欢「技巧」，而不是「思路」，技巧嘛掌握很容易，最后就变成大家都是一套路，而思维则是需要炼成的，你掌握了思维，能够受用终生。我一直以来旗帜鲜明反对“技巧”，而提倡思维的锻炼。互联网思维本质上是产品思维，我会用产品和运营常用的「调研 — 用户需求分析 — 产品设计 — 测试上线 — 迭代 — 产品运营」的角度，来重新梳理你的求职过程，基本上用了这套方法下来，你不用再海投而没人回应，准备简历也不再困难，面试的时候也做到游刃有余，应该能大幅你求职的成功率。两顿盒饭钱，掌握用产品思维找工作的过程，最后，祝大家都找到称心如意的工作。

本次 Live 主要包括以下内容：

＊ 总体：从流程上看找工作的过程

＊ 求职之前：如何做好自我定位？

＊ 调研阶段：读懂职位描述（JD）背后的含义？

＊ 用户与需求分析：如何聚焦招聘链条上各方的需求与痛点？

＊ 产品设计研发：如何准备与招聘方匹配的简历与补充材料？

＊ 测试上线：如何投递简历效率最高？

＊ 数据与迭代：如何通过投递数据调整策略？

＊ 产品运营：日常点滴准备，不要到求职的时候再来找成绩。

＊ 写在最后：求职的五条基本原则

＊ 课后答疑",49RMB,https://www.zhihu.com/people/bumian,5.0,243,160
如何长期拥有性感腹肌马甲线？,刘洹Burning,https://www.zhihu.com/lives/804800549064183808,2017-02-15 21:00:00,1388,"我是刘洹 Burning，香港大学博士生。同时，我在美国和香港做过专业健身教练，获得了很多国际顶级认证。一年间，我们帮助超过 700 名小伙伴通过线上不依靠健身房成功减肥。

腹肌可以说是大部分人认为最性感的肌肉了，人人都很向往，但拥有清晰腹肌人鱼线比例的人群极低（即使是健身人群中）。很多人并不胖但每天练腹依旧没有见到自己的腹肌，更别说长期拥有性感腹肌了。本次讲座希望帮助大家解开关于腹肌马甲线的疑惑，并且最重要的是让大家能持续「炫腹」，并不感到辛苦。

本次 Live 主要包括以下内容：

＊ 长期拥有清晰腹肌的几个必要条件。

＊ 腹肌和健康的关联。

＊ 「虐」腹的正确身体位置。

＊ 腹部训练的阻力、频率和时长

＊ 大约多久能够看到清晰腹肌？

＊ 你应该避免的一些动作以及应该多练的一些动作。

＊ 自编的 6 套循序渐进的腹肌动作。

＊ 保持腹肌最重要的饮食建议和日常生活建议。

＊ 现场答疑。",9RMB,https://www.zhihu.com/people/MrBurning,4.5,930,179
一线大厂如何面试前端工程师？,康康,https://www.zhihu.com/lives/812367829423779840,2017-02-15 20:30:00,1730,"我是康康，7年多招聘行业经验，作为 100offer 首席人才官，每周服务数百家优质互联网公司的面试、谈薪过程。这次我还邀请了来自我们平台的两位大厂雇主，分别是：



阿里前端技术专家 winter ：本名程劭非，阿里前端工程师， JavaScript 专家。江湖人称「计算机之子」。先后在微软、盛大工作，目前是淘宝导购前端 Leader 。 



58 转转技术总监井铎铎： 2006 年入职百度，从此投身 web 开发工作，目前在 58 转转负责前端团队研发管理，并负责前端高 T 人员面试工作。

年后，很快步入求职跳槽高峰。一方面，如何摸清大厂的面试套路？大厂通常会考核哪些方面的能力？困扰着那些向往大厂的前端工程师们；另一方面，年初招聘潮中，如何迅速通过面试判断适合团队的优秀候选人，也成为不少技术 Leader 的难题。本次 Live ，我想通过平台上最真实有效的数据和我对行业的观察，来谈谈那些拿着高薪加入大厂的前端工程师的共性。更多的时间会交给 winter 和井铎铎，用他们的实操经验告诉大家：互联网大厂的技术 Leader 们是如何面试前端工程师的？



无论你是求职者，还是面试官，他们的经验和 tips 一定能帮你少走弯路，获得更好的机会 or 人才。

本次 Live 主要包括以下内容：

1. 「 100offer 首席人才官 康康」

＊ 从数据分析、行业观察来看，最受欢迎的前端人具有怎样的特性？

2.「阿里巴巴 前端技术专家 winter 」

＊ 什么叫做成功的面试？拿到 offer 就是成功吗？

＊ 有些时候你以为你过了，其实并没有。面试官的评判方式到底是什么？

＊ 没有闪耀经历，草根简历如何突围？

3. 「 58 转转 技术总监 井铎铎」

＊ 面试前，我如何快速筛选简历？如何和候选人沟通职位信息？

＊ 谈谈那些在面试中我一定会设计的坎。是否会让面试者现场写代码？

＊ 技术面试除了基本的技术和个人素养外，还会考核哪些能力？

＊ 如何判断候选人真实实力，一眼识别水货？",19RMB,https://www.zhihu.com/people/kang-kang-5-32,4.0,473,155
重新认识腰椎病,孙悦礼,https://www.zhihu.com/lives/791702797958676480,2017-01-07 21:00:00,1649,"我是孙悦礼，骨科医学博士在读，从事医疗工作八年，目前在纽约州立大学石溪分校生物医学工程系作为访问学者参与多项有关肌肉和骨骼的生物力学与转化医学研究。目前在实验室主要承担项目下属于 NASA （美国航天航空局），研究主要关于宇航员在太空失重状态下如何保持肌肉骨骼强度。「医学科研在快速发展，医学实践不可避免的会慢上几拍，而医学科普却永远原地踏步， 就好像窗户纸一样，虽然一捅就破，但若是没人帮你捅破，你可能就会被那窗户纸挡住终生的视线，乃至于真相虽然实际上真的就近在咫尺却完全看不着…… 我愿意成为那个捅破窗户纸的人，用自己的方式做出一点尝试。」

上次关于颈椎病的 Live 讲座收到了不错的反响，也让我萌生了把「重新认识 XX 病」做成系列的想法。根据收到的反馈，第二期就来讲腰椎。虽然颈椎腰椎结构相似，但是作为承受人体上半身重量并且在许多运动中都需要用来发力和保持平衡的腰椎，它的动态功能比颈椎复杂得多。腰痛腿麻的症状也比颈痛手麻更容易复发和善变。本次 Live 我将延续上一期的风格，用大量手绘画和通俗的类比方法，让晦涩难懂的医学知识变得更容易理解，让条条框框的治疗预防细则更容易被操作。这次预热期时间较长，我也想在这期间多听听大家关于腰椎不适的各种问题，我同样会负责专业地回复大家的所有问题。

本次 Live 主要包括以下内容：

＊ 正常人腰部的解剖结构

＊ 各种运动时腰部肌群的发力情况

＊ 各种运动各种姿势下腰椎间盘承重情况的区别 （有限元分析）

＊ 如何自查腰椎健康状况，如何鉴别「腰肌劳损」与「腰椎间盘突出症」？

＊ 如何预防腰肌劳损 （简单拉伸和生活细节）及人体工学原理？

＊ 如何对待「腰突症」？目前主要的治疗方法和各自的治疗机理等。",9RMB,https://www.zhihu.com/people/yue-li.sun,5.0,975,314
互联网板块股票基本面分析入门,谢漠烟,https://www.zhihu.com/lives/791690124550356992,2017-01-07 21:00:00,84,"我是华创证券传媒与互联网首席分析师谢晨，曾获得 2015 、 2016 两年新财富最佳分析师入围提名。对互联网公司、传媒公司价值分析、投资策略有深刻认识，曾在 2014 年推荐网易（最高涨幅 5 倍）， 2016 年推荐微博（最高涨幅 3 倍）。

对于股票市场，基本面分析非常重要，如何分析行业趋势，判断公司价值，是把握股市的基本功。这次 Live 将以互联网行业为例，普及基本面分析的基本原则、方法。特别提醒：出于证券业相关法规规定，本次 Live 将不对任何 A 股上市公司做出评价，也不会推荐任何股票。

本次 Live 主要包括以下内容：

＊ 什么是基本面分析？对股票投资的意义在于哪里？

＊ 基本面分析有哪些大概方法？

＊ 基本面分析中，商业分析和财务分析哪个重要？

＊ 商业分析中，为什么要分为周期、消费、 TMT 三大类型？

＊ 互联网公司的商业分析特点在哪里？

＊ 互联网公司的财务分析特点在哪里？

＊ 案例 1 ：为何我在 2014 年强烈推荐网易？

＊ 案例 2 ：为何我在 2016 年强烈推荐微博？

＊ 听完本次 Live 以后，该如何继续学习互联网公司基本面分析？",100RMB,https://www.zhihu.com/people/XieMoYan,4.0,253,292
画画与编程,小鸟,https://www.zhihu.com/lives/801837286932242432,2017-01-25 20:30:00,244,"我是小鸟，一名白帽子黑客，长期学习渗透测试，漏洞挖掘，代码审计的相关内容，也是一名 python 程序员。同时，我也是一名涂鸦插画师，迦持涂鸦工作室创始人之一。在长期的绘画生涯中，画过上千幅商业插画和涂鸦，在所在城市的大街小巷都留下了我们的作品。曾受邀参加 YOK 涂鸦设计大赛，参与设计 TCL 环保主题屏保系列插画，参加克拉玛依国际涂鸦交流赛，与 vans,《时尚生活导报》等公司均有过合作。我也是一名极限运动爱好者，持续练习滑板，跑酷，单板滑雪，极限轮滑有 5 年左右，均有一定成绩和经验。

一个喜欢编程的人，居然还会喜欢画画，很多人会觉得编程和画画是截然不同的两个领域，编程是理性的，要求我们进行严谨和精确地逻辑思考；而画画是感性的，它是某种原始欲望和情绪的表达。但是在我的学习过程中，我发现编程和画画有很多潜在的联系，并且一直在相互促进我两种技能的发展，比如对作品严格的标准，对代码更加简洁和高效的追求，比如在编程和画画之前都要打草稿的方式，比如一步一步将程序和作品更加完善。这些都说明了他们有很多共通之处，一个情绪饱满，艺术气息浓重的人也可以学习编程；一个逻辑严谨、思维缜密的人也可以学习画画。

本次 Live 主要包括以下内容：

＊ 我的画画与编程之路?

＊ 画画和编程有哪些相似的地方？

＊ 画画入门技能表。

＊ 编程入门技能表。

＊ 怎样通过画画改善生活？

＊ 怎样通过编程改善生活？

＊ 理性思维的人怎样通过画画为生活增添乐趣？

＊ 感性思维的人怎样通过编程提高生活效率？

＊ 门外汉怎样跨界成为职业插画师？

＊ 大学生如何转行成为程序员？

＊ 编程和画画的相似之处对于生活的影响。

＊ 编程和画画的相关问题。",12RMB,https://www.zhihu.com/people/zhang-peng-87-6-42,4.0,362,125
诗词创作入门杂谈,夜小紫,https://www.zhihu.com/lives/801844126650884096,2017-01-16 20:30:00,395,"我是夜小紫，旧体诗人，有近八年的创作经验，是知乎诗词话题下的优秀答题者。

前两次的 Live 之后，有很多朋友都来问我一些创作方面的问题，让我感受到了大家对于旧体诗这一古老艺术门类的热情。而与之相对应的情况是，大部分人在学习旧体诗创作的过程，即没有一个科学的指引，又常常陷入某些错误的路径越行越远。这次 Live 主要想面对想要进行旧体诗创作的朋友们，希望能从个人的经验出发，对大家提供一点微小的建议。

本次 Live 主要包括以下内容：

＊ 入门之前的准备：为何要创作旧诗？

＊ 几种典型的误解，几个基本的态度。

＊ 如何入门：如何有针对性的读书，如何学习旧体诗的规律，如何进行练笔，新手常见的典型问题。

＊ 入门之后的提高：自觉性；磨练技艺；寻找母题；继承＆开新。

＊ 个人创作经验谈：我创作旧诗的简单经历；个人的一些经验教训。",10RMB,https://www.zhihu.com/people/ye-xiao-zi,4.5,333,162
应届生实习、签约须了解的法律问题,段正君,https://www.zhihu.com/lives/791680757922926592,2017-01-07 21:00:00,170,"我是段正君，毕业于复旦大学法学院，法律硕士，上海市锦天城律师事务所律师，为众多跨国公司、国有企业、上市公司提供劳动法和人力资源管理的法律服务，包括劳动法的日常合规性问题咨询、起草和修改劳动合同、员工手册以及企业劳动用工的年度合规性审查等。为企业在并购、重组、解散过程中涉及的员工转移、员工安置、裁员等设计实施办法和提供解决方案。

据不完全统计， 2016 年全国将有 1000 万大学生加入就业竞争。对于应届大学生，既要面对巨大的就业压力，又要面临求职过程中的种种法律风险。本次 Live ，分享劳动法干货，为应届毕业生求职、就业保驾护航。

本次 Live 主要包括以下内容：

＊ 实习生的身份：学生 or 劳动者？

＊ 实习生在工作中受伤能否认定工伤？

＊ 实习时签订的「三方协议」是否可以约定违约金？

＊ 外国实习生是否可以在中国实习？

＊ 实习生是否适用最低工资标准？

＊ 实习生跟单位签劳动合同是否建立劳动关系？

＊ 单位拖延或者不签劳动合同的行为，怎么办？

＊ offer 与劳动合同不一致，以哪个为准？

＊ 入职时单位是否可以向员工收费？

＊ 只要在试用期就可以被随便辞退？

＊ 转岗能再试用吗？",9RMB,https://www.zhihu.com/people/duan-zheng-jun-lv-shi,4.5,314,73
自由职业者的理想与困惑,小芋头君,https://www.zhihu.com/lives/789880983208865792,2017-01-07 21:00:00,297,"我是芋头，从 09 年进入互联网行业以来，一直作为一个不安分的程序员的身份出现，也做过一段时间的纯粹的自由职业者，业余自己创造过技术社区，写过用户数几十万的 iOS App 并且成功变现，尝试过从需求到产品到设计到各种端的开发到运营推广等方方面面，一直以来都是一个理想主义者，相信技术能够改变世界。

通过这次分享，我想和自由职业者或者有这个想法的在职人员聊一下我的经历，以及我对这件事情的看法，把自己的一些经验和大家做一下分享，少走弯路，希望能具体问题具体分析。

本次 Live 主要包括以下内容：

＊ 我对自由职业者的看法

＊ 我的自由职业经历

＊ 独立开发 App 和社区的经历

＊ 自由职业者如何提高自制力？

＊ 自由职业者如何找到自由雇主？

＊ 如何成为一名独立开发者，需要具备哪些技能？

＊ 自由职业者除了接外包，还有哪些生存方式？

＊ 独立开发者如何培养运营产品设计等技能？",15RMB,https://www.zhihu.com/people/li-shou-xin,4.0,311,100
